CaseID,Activity,Timestamp,Actor,ActionType,ModelReference,Details
Case_1,Start,1751565600,User,Start,https://ontologia.segittur.es/turismo/def/core/Inicio,estur:activityType=Initialization;estur:actorType=Traveler
Case_1,Validate user access,1751565660,System,Authentication,https://ontologia.segittur.es/turismo/def/core/Autenticacion,estur:authMethod=OAuth2;estur:accessLevel=User
Case_1,Search flights,1751565720,User,Query,https://ontologia.segittur.es/turismo/def/core/BuscarVuelos,estur:searchType=Flight;estur:searchChannel=Web
Case_1,Consult options,1751565780,User,Query,https://ontologia.segittur.es/turismo/def/core/ConsultarOpciones,estur:resultCount=5;estur:preferredTime=Morning
Case_1,View flight details,1751565900,System,InformationRequest,https://ontologia.segittur.es/turismo/def/core/VerDetallesVuelo,estur:flightCode=AF1234;estur:airline=Air France
Case_1,Check real-time availability,1751566020,ReservationEngine,AvailabilityValidation,https://ontologia.segittur.es/turismo/def/core/VerificarDisponibilidadTiempoReal,estur:availability=true;estur:service=Flight
Case_1,Enter personal data,1751566080,User,DataEntry,https://ontologia.segittur.es/turismo/def/core/IngresarDatosPersonales,estur:dataFields=Name-Email-Phone;estur:language=EN
Case_1,Validate passport/ID,1751566140,DocumentValidationService,Verification,https://ontologia.segittur.es/turismo/def/core/ValidarIdentidad,estur:documentType=Passport;estur:validationSource=GovernmentAPI
Case_1,Anti-fraud verification,1751566200,FraudSystem,FraudCheck,https://ontologia.segittur.es/turismo/def/core/VerificacionAntifraude,estur:fraudScore=Low;estur:fraudCheckMethod=MLModel
Case_1,Confirm reservation,1751566260,System,Confirmation,https://ontologia.segittur.es/turismo/def/core/ConfirmarReserva,estur:confirmationMethod=Email+App;estur:status=Confirmed
Case_2,Start,1751571600,User,Start,https://ontologia.segittur.es/turismo/def/core/Inicio,estur:activityType=Initialization;estur:actorType=Traveler
Case_2,Validate user access,1751571665,System,Authentication,https://ontologia.segittur.es/turismo/def/core/Autenticacion,estur:authMethod=Password;estur:accessLevel=Admin
Case_2,Search flights,1751571725,User,Query,https://ontologia.segittur.es/turismo/def/core/BuscarVuelos,estur:searchType=Flight;estur:searchChannel=Mobile
Case_2,Consult options,1751571780,User,Query,https://ontologia.segittur.es/turismo/def/core/ConsultarOpciones,estur:resultCount=3;estur:preferredTime=Afternoon
Case_2,View flight details,1751571900,System,InformationRequest,https://ontologia.segittur.es/turismo/def/core/VerDetallesVuelo,estur:flightCode=LH4321;estur:airline=Lufthansa
Case_2,Check real-time availability,1751572025,ReservationEngine,AvailabilityValidation,https://ontologia.segittur.es/turismo/def/core/VerificarDisponibilidadTiempoReal,estur:availability=false;estur:service=Flight
Case_2,Enter personal data,1751572090,User,DataEntry,https://ontologia.segittur.es/turismo/def/core/IngresarDatosPersonales,estur:dataFields=Name-Phone;estur:language=EN
Case_2,Validate passport/ID,1751572145,DocumentValidationService,Verification,https://ontologia.segittur.es/turismo/def/core/ValidarIdentidad,estur:documentType=ID Card;estur:validationSource=ThirdParty
Case_2,Anti-fraud verification,1751572210,FraudSystem,FraudCheck,https://ontologia.segittur.es/turismo/def/core/VerificacionAntifraude,estur:fraudScore=Medium;estur:fraudCheckMethod=RuleBased
Case_2,Confirm reservation,1751572275,System,Confirmation,https://ontologia.segittur.es/turismo/def/core/ConfirmarReserva,estur:confirmationMethod=SMS;estur:status=Pending
Case_3,Start,1751575800,User,Start,https://ontologia.segittur.es/turismo/def/core/Inicio,estur:activityType=Initialization;estur:actorRole=Traveler
Case_3,Validate user access,1751575865,System,Authentication,https://ontologia.segittur.es/turismo/def/core/Autenticacion,estur:authMethod=Biometric;estur:accessLevel=User
Case_3,Search flights,1751575920,User,Query,https://ontologia.segittur.es/turismo/def/core/BuscarVuelos,estur:searchType=Flight;estur:searchDevice=Tablet
Case_3,Consult options,1751575980,User,Query,https://ontologia.segittur.es/turismo/def/core/ConsultarOpciones,estur:resultCount=8;estur:preferredClass=Economy
Case_3,View flight details,1751576100,System,InformationRequest,https://ontologia.segittur.es/turismo/def/core/VerDetallesVuelo,estur:flightCode=BA5678;estur:airline=British Airways
Case_3,Check real-time availability,1751576220,ReservationEngine,AvailabilityValidation,https://ontologia.segittur.es/turismo/def/core/VerificarDisponibilidadTiempoReal,estur:availability=true;estur:service=Flight
Case_3,Enter personal data,1751576280,User,DataEntry,https://ontologia.segittur.es/turismo/def/core/IngresarDatosPersonales,estur:dataFields=Name-Email;estur:language=EN
Case_3,Validate passport/ID,1751576340,DocumentValidationService,Verification,https://ontologia.segittur.es/turismo/def/core/ValidarIdentidad,estur:documentType=Passport;estur:validationSource=GovernmentAPI
Case_3,Anti-fraud verification,1751576400,FraudSystem,FraudCheck,https://ontologia.segittur.es/turismo/def/core/VerificacionAntifraude,estur:fraudScore=Low;estur:fraudCheckMethod=Heuristic
Case_3,Confirm reservation,1751576460,System,Confirmation,https://ontologia.segittur.es/turismo/def/core/ConfirmarReserva,estur:confirmationMethod=Email;estur:status=Confirmed
Case_4,Start,1751580000,User,Start,https://ontologia.segittur.es/turismo/def/core/Inicio,estur:activityType=Initialization;estur:actorRole=Traveler
Case_4,Validate user access,1751580065,System,Authentication,https://ontologia.segittur.es/turismo/def/core/Autenticacion,estur:authMethod=Password;estur:accessLevel=User
Case_4,Search flights,1751580120,User,Query,https://ontologia.segittur.es/turismo/def/core/BuscarVuelos,estur:searchType=Flight;estur:searchChannel=Desktop
Case_4,Consult options,1751580180,User,Query,https://ontologia.segittur.es/turismo/def/core/ConsultarOpciones,estur:resultCount=10;estur:preferredClass=Business
Case_4,View flight details,1751580300,System,InformationRequest,https://ontologia.segittur.es/turismo/def/core/VerDetallesVuelo,estur:flightCode=UA7890;estur:airline=United Airlines
Case_4,Check real-time availability,1751580420,ReservationEngine,AvailabilityValidation,https://ontologia.segittur.es/turismo/def/core/VerificarDisponibilidadTiempoReal,estur:availability=true;estur:service=Flight
Case_4,Enter personal data,1751580480,User,DataEntry,https://ontologia.segittur.es/turismo/def/core/IngresarDatosPersonales,estur:dataFields=Name-Email-Phone;estur:language=EN
Case_4,Validate passport/ID,1751580540,DocumentValidationService,Verification,https://ontologia.segittur.es/turismo/def/core/ValidarIdentidad,estur:documentType=ID Card;estur:validationSource=ThirdParty
Case_4,Anti-fraud verification,1751580600,FraudSystem,FraudCheck,https://ontologia.segittur.es/turismo/def/core/VerificacionAntifraude,estur:fraudScore=High;estur:fraudCheckMethod=AIModel
Case_4,Confirm reservation,1751580660,System,Confirmation,https://ontologia.segittur.es/turismo/def/core/ConfirmarReserva,estur:confirmationMethod=SMS;estur:status=Confirmed
Case_5,Start,1751584200,User,Start,https://ontologia.segittur.es/turismo/def/core/Inicio,estur:activityType=Initialization;estur:actorRole=Traveler
Case_5,Validate user access,1751584265,System,Authentication,https://ontologia.segittur.es/turismo/def/core/Autenticacion,estur:authMethod=TwoFactor;estur:accessLevel=User
Case_5,Search flights,1751584320,User,Query,https://ontologia.segittur.es/turismo/def/core/BuscarVuelos,estur:searchType=Flight;estur:searchDevice=Smartphone
Case_5,Consult options,1751584380,User,Query,https://ontologia.segittur.es/turismo/def/core/ConsultarOpciones,estur:resultCount=4;estur:preferredClass=Economy
Case_5,View flight details,1751584500,System,InformationRequest,https://ontologia.segittur.es/turismo/def/core/VerDetallesVuelo,estur:flightCode=DL2345;estur:airline=Delta Airlines
Case_5,Check real-time availability,1751584620,ReservationEngine,AvailabilityValidation,https://ontologia.segittur.es/turismo/def/core/VerificarDisponibilidadTiempoReal,estur:availability=true;estur:service=Flight
Case_5,Enter personal data,1751584680,User,DataEntry,https://ontologia.segittur.es/turismo/def/core/IngresarDatosPersonales,estur:dataFields=Name-Email;estur:language=EN
Case_5,Validate passport/ID,1751584740,DocumentValidationService,Verification,https://ontologia.segittur.es/turismo/def/core/ValidarIdentidad,estur:documentType=Passport;estur:validationSource=GovernmentAPI
Case_5,Anti-fraud verification,1751584800,FraudSystem,FraudCheck,https://ontologia.segittur.es/turismo/def/core/VerificacionAntifraude,estur:fraudScore=Low;estur:fraudCheckMethod=Heuristic
Case_5,Confirm reservation,1751584860,System,Confirmation,https://ontologia.segittur.es/turismo/def/core/ConfirmarReserva,estur:confirmationMethod=Email;estur:status=Confirmed
Case_6,Start,1751587800,User,Start,https://ontologia.segittur.es/turismo/def/core/Inicio,estur:activityType=Initialization;estur:actorRole=Traveler
Case_6,Validate user access,1751587865,System,Authentication,https://ontologia.segittur.es/turismo/def/core/Autenticacion,estur:authMethod=Password;estur:accessLevel=User
Case_6,Search flights,1751587920,User,Query,https://ontologia.segittur.es/turismo/def/core/BuscarVuelos,estur:searchType=Flight;estur:searchChannel=MobileApp
Case_6,Consult options,1751587980,User,Query,https://ontologia.segittur.es/turismo/def/core/ConsultarOpciones,estur:resultCount=7;estur:preferredClass=Business
Case_6,View flight details,1751588100,System,InformationRequest,https://ontologia.segittur.es/turismo/def/core/VerDetallesVuelo,estur:flightCode=AA1234;estur:airline=American Airlines
Case_6,Check real-time availability,1751588220,ReservationEngine,AvailabilityValidation,https://ontologia.segittur.es/turismo/def/core/VerificarDisponibilidadTiempoReal,estur:availability=true;estur:service=Flight
Case_6,Enter personal data,1751588280,User,DataEntry,https://ontologia.segittur.es/turismo/def/core/IngresarDatosPersonales,estur:dataFields=Name-Email-Phone;estur:language=EN
Case_6,Validate passport/ID,1751588340,DocumentValidationService,Verification,https://ontologia.segittur.es/turismo/def/core/ValidarIdentidad,estur:documentType=ID Card;estur:validationSource=GovernmentAPI
Case_6,Anti-fraud verification,1751588400,FraudSystem,FraudCheck,https://ontologia.segittur.es/turismo/def/core/VerificacionAntifraude,estur:fraudScore=Medium;estur:fraudCheckMethod=RuleBased
Case_6,Confirm reservation,1751588460,System,Confirmation,https://ontologia.segittur.es/turismo/def/core/ConfirmarReserva,estur:confirmationMethod=Email;estur:status=Confirmed
