CaseID,Activity,Timestamp,Actor,ActionType,ModelReference,Details
Case_1,ac_Start,1751565600,User,at_Start,https://ontologia.segittur.es/turismo/def/core/Inicio,estur:activityType=Initialization;estur:actorType=Traveler
Case_1,ac_Validate_user_access,1751565660,System,at_Authentication,https://ontologia.segittur.es/turismo/def/core/Autenticacion,estur:authMethod=OAuth2;estur:accessLevel=User
Case_1,ac_Search_flights,1751565720,User,at_Query,https://ontologia.segittur.es/turismo/def/core/BuscarVuelos,estur:searchType=Flight;estur:searchChannel=Web
Case_1,ac_Consult_options,1751565780,User,at_Query,https://ontologia.segittur.es/turismo/def/core/ConsultarOpciones,estur:resultCount=5;estur:preferredTime=Morning
Case_1,ac_View_flight_details,1751565900,System,at_InformationRequest,https://ontologia.segittur.es/turismo/def/core/VerDetallesVuelo,estur:flightCode=AF1234;estur:airline=Air France
Case_1,ac_Check_real_time_availability,1751566020,ReservationEngine,at_AvailabilityValidation,https://ontologia.segittur.es/turismo/def/core/VerificarDisponibilidadTiempoReal,estur:availability=true;estur:service=Flight
Case_1,ac_Enter_personal_data,1751566080,User,at_DataEntry,https://ontologia.segittur.es/turismo/def/core/IngresarDatosPersonales,estur:dataFields=Name-Email-Phone;estur:language=EN
Case_1,ac_Validate_passport_ID,1751566140,DocumentValidationService,at_Verification,https://ontologia.segittur.es/turismo/def/core/ValidarIdentidad,estur:documentType=Passport;estur:validationSource=GovernmentAPI
Case_1,ac_Anti_fraud_verification,1751566200,FraudSystem,at_FraudCheck,https://ontologia.segittur.es/turismo/def/core/VerificacionAntifraude,estur:fraudScore=Low;estur:fraudCheckMethod=MLModel
Case_1,ac_Confirm_reservation,1751566260,System,at_Confirmation,https://ontologia.segittur.es/turismo/def/core/ConfirmarReserva,estur:confirmationMethod=Email+App;estur:status=Confirmed
Case_2,ac_Start,1751571600,User,at_Start,https://ontologia.segittur.es/turismo/def/core/Inicio,estur:activityType=Initialization;estur:actorType=Traveler
Case_2,ac_Validate_user_access,1751571665,System,at_Authentication,https://ontologia.segittur.es/turismo/def/core/Autenticacion,estur:authMethod=Password;estur:accessLevel=Admin
